"","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","ActivityLocation.LatitudeMeasure","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionMethod.MethodDescriptionText","SampleCollectionEquipmentName","ResultIdentifier","ResultDetectionConditionText","MethodSpeciationName","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultCommentText","USGSPCode","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","ResultAnalyticalMethod.MethodUrl","ResultAnalyticalMethod.MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","ResultDetectionQuantitationLimitUrl","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode"
"320001","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430836","Not Detected",NA,"Selenium","Dissolved","","",NA,"Historical","","Actual","","","","",1145,"","","",NA,"","","","",NA,"Historical Lower Reporting Limit",1,"ug/l"
"320002","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430837","",NA,"Stream flow, instantaneous","","340","m3/sec",NA,"Historical","","Actual","","","","",30209,"ALGOR","USGS","Computation by NWIS algorithm",NA,"NWIS User's Manual, QW System, Section 3.6.7","","","",NA,"",NA,""
"320003","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430838","",NA,"Fecal Coliform","","280","cfu/100ml",NA,"Historical","","Actual","","","","",31616,"","","",NA,"","","","",NA,"",NA,""
"320004","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430839","",NA,"Fecal Coliform","","440","cfu/100ml",NA,"Historical","","Actual","","","","",31625,"","","",NA,"","","","",NA,"",NA,""
"320005","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430840","",NA,"Fecal Streptococcus Group Bacteria","","300","cfu/100ml",NA,"Historical","","Actual","","","","",31673,"","","",NA,"","","","",NA,"",NA,""
"320006","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430841","",NA,"Total dissolved solids","Dissolved","64","mg/l",NA,"Historical","","Actual","","","180 deg C","",70300,"","","",NA,"","","","",NA,"",NA,""
"320007","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430842","",NA,"Total dissolved solids","Dissolved","59","mg/l",NA,"Historical","","Actual","","","","",70301,"","","",NA,"","","","",NA,"",NA,""
"320008","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430843","",NA,"Total dissolved solids","Dissolved","2070","tons/day",NA,"Historical","","Actual","","","","",70302,"","","",NA,"","","","",NA,"",NA,""
"320009","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430844","",NA,"Total dissolved solids","Dissolved","0.09","tons/ac ft",NA,"Historical","","Actual","","","","",70303,"","","",NA,"","","","",NA,"",NA,""
"320010","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430845","",NA,"Suspended Sediment Concentration (SSC)","Suspended","94","%",NA,"Historical","","Actual","","","","",70331,"","","",NA,"","","","",NA,"",NA,""
"320011","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430846","",NA,"Ammonia and ammonium","Total","0.361","mg/l NH4",NA,"Historical","","Actual","","","","",71845,"ALGOR","USGS","Computation by NWIS algorithm",NA,"NWIS User's Manual, QW System, Section 3.6.7","","","",NA,"",NA,""
"320012","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430847","",NA,"Ammonia and ammonium","Dissolved","0.37","mg/l NH4",NA,"Historical","","Actual","","","","",71846,"","","",NA,"","","","",NA,"",NA,""
"320013","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430848","",NA,"Phosphorus","Total","0.18","mg/l PO4",NA,"Historical","","Actual","","","","",71886,"","","",NA,"","","","",NA,"",NA,""
"320014","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430849","",NA,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","4","mg/l NO3",NA,"Historical","","Actual","","","","",71887,"","","",NA,"","","","",NA,"",NA,""
"320015","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430850","",NA,"Mercury","Dissolved","0.2","ug/l",NA,"Historical","","Actual","","","","",71890,"","","",NA,"","","","",NA,"",NA,""
"320016","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430851","",NA,"Suspended Sediment Concentration (SSC)","Suspended","6","mg/l",NA,"Historical","","Actual","","","","",80154,"","","",NA,"","","","",NA,"",NA,""
"320017","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430852","",NA,"Suspended Sediment Discharge","Suspended","194","tons/day",NA,"Historical","","Actual","","","","",80155,"ALGOR","USGS","Computation by NWIS algorithm",NA,"NWIS User's Manual, QW System, Section 3.6.7","","","",NA,"",NA,""
"320018","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430854","",NA,"Specific conductance","Total","101","uS/cm @25C",NA,"Historical","","Actual","","","25 deg C","",90095,"","","",NA,"","","","",NA,"",NA,""
"320019","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430855","",NA,"Alkalinity","Total","23","mg/l CaCO3",NA,"Historical","","Actual","","","","",90410,"","","",NA,"","","","",NA,"",NA,""
"320020","Sample-Routine","Water","Surface Water","5/14/1985","8:30:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01184000","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67430856","",NA,"Hardness, non-carbonate","","10","mg/l CaCO3",NA,"Historical","","Actual","","","","",95902,"","","",NA,"","","","",NA,"",NA,""
"320021","Sample-Composite Without Parents","Water","Wet Fall Material","1/31/1985","","","U.S. Geological Survey-Water Resources Discipline","USGS-413538072253501","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67467365","",NA,"Precipitation","","0.1","in",NA,"Historical","","Estimated","","","","",45,"","","",NA,"","","","",NA,"",NA,""
"320022","Sample-Composite Without Parents","Water","Wet Fall Material","1/31/1985","","","U.S. Geological Survey-Water Resources Discipline","USGS-413538072253501","","","Stable, normal stage","Routine sample",NA,"USGS","USGS","USGS",NA,"Unknown","NWIS-67467366","",NA,"Specific conductance","Total","50","uS/cm @25C",NA,"Historical","","Actual","","","25 deg C","",95,"","","",NA,"","","","",NA,"",NA,""
