"","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","ActivityLocation.LatitudeMeasure","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionMethod.MethodDescriptionText","SampleCollectionEquipmentName","ResultIdentifier","ResultDetectionConditionText","MethodSpeciationName","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultCommentText","USGSPCode","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","ResultAnalyticalMethod.MethodUrl","ResultAnalyticalMethod.MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","ResultDetectionQuantitationLimitUrl","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode"
"40001","Sample-Routine","Water","Surface Water","6/29/2016","13:40:00","EST","U.S. Geological Survey","USGS-01195490","","","Stable, low stage","Routine sample",NA,"40","USGS parameter code 82398","Multiple verticals",NA,"US DH-81 with Teflon cap and nozzle","NWIS-105145668","Not Detected",NA,"Phorate sulfone","Dissolved","","",NA,"Accepted","","Actual","","","","",68672,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS",NA,"USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","7/12/2016","",NA,"Reporting limit by DQCALC",9,"ng/l"
"40002","Sample-Routine","Water","Surface Water","6/29/2016","13:40:00","EST","U.S. Geological Survey","USGS-01195490","","","Stable, low stage","Routine sample",NA,"40","USGS parameter code 82398","Multiple verticals",NA,"US DH-81 with Teflon cap and nozzle","NWIS-105145669","Not Detected",NA,"Phorate sulfoxide","Dissolved","","",NA,"Accepted","","Actual","","","","",68673,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS",NA,"USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","7/12/2016","",NA,"Reporting limit by DQCALC",4.6,"ng/l"
"40003","Sample-Routine","Water","Surface Water","6/29/2016","13:40:00","EST","U.S. Geological Survey","USGS-01195490","","","Stable, low stage","Routine sample",NA,"40","USGS parameter code 82398","Multiple verticals",NA,"US DH-81 with Teflon cap and nozzle","NWIS-105145670","Not Detected",NA,"Phthalazinone","Dissolved","","",NA,"Accepted","","Actual","","","","",68675,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS",NA,"USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","7/12/2016","",NA,"Reporting limit by DQCALC",15,"ng/l"
"40004","Sample-Routine","Water","Surface Water","6/29/2016","13:40:00","EST","U.S. Geological Survey","USGS-01195490","","","Stable, low stage","Routine sample",NA,"40","USGS parameter code 82398","Multiple verticals",NA,"US DH-81 with Teflon cap and nozzle","NWIS-105145671","Not Detected",NA,"Profenofos","Dissolved","","",NA,"Accepted","","Actual","","","","",68676,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS",NA,"USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","7/12/2016","",NA,"Reporting limit by DQCALC",3,"ng/l"
"40005","Sample-Routine","Water","Surface Water","6/29/2016","13:40:00","EST","U.S. Geological Survey","USGS-01195490","","","Stable, low stage","Routine sample",NA,"40","USGS parameter code 82398","Multiple verticals",NA,"US DH-81 with Teflon cap and nozzle","NWIS-105145672","Not Detected",NA,"Propargite","Dissolved","","",NA,"Accepted","","Actual","","","","",68677,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS",NA,"USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","7/12/2016","",NA,"Reporting limit by DQCALC",2,"ng/l"
"40006","Sample-Routine","Water","Surface Water","6/29/2016","13:40:00","EST","U.S. Geological Survey","USGS-01195490","","","Stable, low stage","Routine sample",NA,"40","USGS parameter code 82398","Multiple verticals",NA,"US DH-81 with Teflon cap and nozzle","NWIS-105145673","Not Detected",NA,"Propazine","Dissolved","","",NA,"Accepted","","Actual","","","","",68678,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS",NA,"USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","7/12/2016","",NA,"Reporting limit by DQCALC",3.2,"ng/l"
"40007","Sample-Routine","Water","Surface Water","6/29/2016","13:40:00","EST","U.S. Geological Survey","USGS-01195490","","","Stable, low stage","Routine sample",NA,"40","USGS parameter code 82398","Multiple verticals",NA,"US DH-81 with Teflon cap and nozzle","NWIS-105145674","",NA,"Propoxur","Dissolved","3.08","ng/l",NA,"Accepted","","Actual","","","","",68679,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS",NA,"USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","7/12/2016","below the reporting level but at or above the detection level",NA,"Reporting limit by DQCALC",3.2,"ng/l"
"40008","Sample-Routine","Water","Surface Water","6/29/2016","13:40:00","EST","U.S. Geological Survey","USGS-01195490","","","Stable, low stage","Routine sample",NA,"40","USGS parameter code 82398","Multiple verticals",NA,"US DH-81 with Teflon cap and nozzle","NWIS-105145675","Not Detected",NA,"Pyridaben","Dissolved","","",NA,"Accepted","","Actual","","","","",68682,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS",NA,"USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","7/12/2016","",NA,"Reporting limit by DQCALC",2.4,"ng/l"
"40009","Sample-Routine","Water","Surface Water","6/29/2016","13:40:00","EST","U.S. Geological Survey","USGS-01195490","","","Stable, low stage","Routine sample",NA,"40","USGS parameter code 82398","Multiple verticals",NA,"US DH-81 with Teflon cap and nozzle","NWIS-105145676","Not Detected",NA,"Pyriproxyfen","Dissolved","","",NA,"Accepted","","Actual","","","","",68683,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS",NA,"USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","7/12/2016","",NA,"Reporting limit by DQCALC",3,"ng/l"
"40010","Sample-Routine","Water","Surface Water","6/29/2016","13:40:00","EST","U.S. Geological Survey","USGS-01195490","","","Stable, low stage","Routine sample",NA,"40","USGS parameter code 82398","Multiple verticals",NA,"US DH-81 with Teflon cap and nozzle","NWIS-105145677","Not Detected",NA,"sec-Acetochlor oxanilic acid","Dissolved","","",NA,"Accepted","","Actual","","","","",68684,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS",NA,"USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","7/19/2016","",NA,"Reporting limit by DQCALC",52,"ng/l"
